,Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Affiliates,URL
26,Deep Reinforcement Learning,nanodegree,Master the deep reinforcement learning skills that are powering amazing advances in AI—and start applying these skills to applications like video games and robotics.,advanced,3 Months,4.6,534.0,"Reinforcement Learning, Neural Networks, PyTorch, Deep Q-Networks (DQN), Deep Deterministic Policy Gradients (DDPG)","Experience with Python, Probability, Machine Learning, & Deep Learning.","Unity, Nvidia Deep Learning Institute",https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893
27,Computer Vision,nanodegree,"Learn the in-demand skills of computer vision, a growing field of AI, that empower advancements in robotics and automation.",advanced,3 Months,4.7,798.0,"Convolutional Neural Networks, Recurrent Neural Networks, Simultaneous Localization and Mapping, Object Tracking, Image Classification, Deep Learning","Python, Statistics, Machine Learning, & Deep Learning","Affectiva, Nvidia Deep Learning Institute",https://www.udacity.com/course/computer-vision-nanodegree--nd891
28,Data Structures and Algorithms,nanodegree,Get hands-on practice with over 100 data structures and algorithm exercises with technical mentor support when needed to help prepare you for the workplace.,intermediate,4 Months,4.7,850.0,"Data Structures and Algorithms, Problem Solving, Interview Practice Problems, Python",Python and Basic Algebra,none,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256
29,Robotics Software Engineer,nanodegree,"Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, localization, mapping, SLAM, navigation, and path planning.",advanced,4 Months,4.5,571.0,"C++, ROS, Localization, Mapping, SLAM, Navigation, Path Planning, Robot Operating System, Robotics",Mathematics & Programming,none,https://www.udacity.com/course/robotics-software-engineer--nd209
30,AI Product Manager,nanodegree,Develop AI products that deliver real business value by building skills that help you compete in the new AI-powered world.,beginner,2 Months,4.4,616.0,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",No Experience Required,Appen,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088
31,Android Kotlin Developer,nanodegree,"Master Android app development with Kotlin, a modern programming language that enables developers to be more productive.",intermediate,4 Months,4.7,355.0,"Android Development, Kotlin, Android Studio, Gradle, RESTful interfaces, Web APIs, App Architecture, Databases, Custom Views, Notifications, Location Services, Testing, Firebase",Experience with Object-Oriented Programming,Google,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940
32,Java Programming,nanodegree,"Elevate your Java abilities with the fundamental skills used by developers to design, code, test, and deploy cutting-edge Java software.",intermediate,3 Months,4.5,143.0,"Object-oriented programming,  functional programming,  I/O,  reflection,  concurrent programming,  Java modules","Basic programming concepts like variables, loops and conditionals.",none,https://www.udacity.com/course/java-programming-nanodegree--nd079
33,Cloud DevOps Engineer,nanodegree,Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to master skills like operationalizing infrastructure at scale and delivering applications and services at high velocity.,intermediate,4 Months,4.6,846.0,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation",Intermediate JavaScript,none,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991
34,Data Architect,nanodegree,"Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",advanced,4 Months,4.6,122.0,"Entity relationship diagrams,  Relational Data Design,  Online Analytical Processing,  Operational Data Stores,  Data Lake Architecture,  Data Governance
","Intermediate Python, SQL, and Basics of ETL/Data Pipelines",none,https://www.udacity.com/course/data-architect-nanodegree--nd038
35,Data Analysis and Visualization with Microsoft Power BI,nanodegree,"Utilize Microsoft Power BI as a primary tool for data pre-processing, visualization, and analysis.",beginner,3 Months,4.7,256.0,"Power BI,  data visulations,  data modeling,  Extract-Transform-Load,  Data Analytics Expressions",Microsoft Excel,none,https://www.udacity.com/course/data-analysis-and-visualization-with-power-BI-nanodegree--nd331
36,Natural Language Processing,nanodegree,"Learn the job-ready skills that progress computers to be able to understand, process, and respond to human language.",advanced,3 Months,4.5,525.0,"Machine Learning, Speech Recognition, Sentiment Analysis, Machine Translation, Part of Speech Tagging","Python, Statistics, Machine Learning, & Deep Learning","Amazon Alexa, IBM Watson",https://www.udacity.com/course/natural-language-processing-nanodegree--nd892
37,Intro to Self-Driving Cars,nanodegree,This introductory program is the perfect way to start your journey into the future of transportation—flying cars.,intermediate,4 Months,4.6,806.0,"Computer Vision, Machine Learning, Vehicle Motion, Control",Programming & Mathematics,none,https://www.udacity.com/course/intro-to-self-driving-cars--nd113
38,Full Stack JavaScript Developer,nanodegree,"Find success as a full stack developer by focusing on topics like UI, UX, APIs, server side business logic, persistence layers, and more.",intermediate,4 Months,4.7,89.0,"Creating an API,  Databases and SQL,  Node.js,  Angular,  TypeScript,  Deployment","HTML, CSS, Basic JavaScript, JSON",none,https://www.udacity.com/course/full-stack-javascript-developer-nanodegree--nd0067
39,Introduction to Cybersecurity,nanodegree,"Get your start in the high growth field of cybersecurity by building foundational skills including evaluating, maintaining, and monitoring the security of computer systems.",beginner,4 Months,4.5,163.0,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response",Basic knowledge of network connectivity and OS fundamentals,SecurityScorecard,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545
40,Data Streaming,nanodegree,Learn how to stream data to unlock key insights in real-time.,advanced,2 Months,4.3,242.0,"Data Streaming, Spark, Kafka, Kafka Streaming, Spark Streaming","Intermediate Python, SQL, and experience with ETL",none,https://www.udacity.com/course/data-streaming-nanodegree--nd029
41,Cloud Developer,nanodegree,Cloud development is the foundation for the new world of software development. Enroll now to build and deploy production-ready full stack apps at scale on AWS.,intermediate,4 Months,4.5,844.0,"AWS, Microservices, Serverless Architecture, Kubernetes",Intermediate JavaScript,none,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990
42,Intro to Machine Learning with TensorFlow,nanodegree,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate,3 Months,4.7,529.0,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning",Intermediate Python,"Kaggle, AWS",https://www.udacity.com/course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230
43,Sensor Fusion Engineer,nanodegree,"Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to detect and track vehicles and pedestrians over time.",advanced,4 Months,4.7,301.0,"Perception, Lidar, Radar, Sensors, Computer Vision","Intermediate C++, Calculus, and Probability",Mercedes-Benz,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313
44,Predictive Analytics For Business,nanodegree,"Learn essential AI concepts including search, optimization, planning, pattern recognition, and more from experts like Peter Norvig and Sebastian Thrun.",beginner,3 Months,4.7,554.0,"Data Wrangling, Classification, A/B Testing, Forecasting, Segmentation","Algebra, Descriptive Statistics, and Excel",Alteryx,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008t
45,Intermediate JavaScript,nanodegree,"Master JavaScript, the most popular programming language in the world. Be equipped for advanced roles in web development, server-side application development, and desktop development.",intermediate,3 Months,4.5,161.0,"Functional Programming, DOM, Data Structures, Asynchronous Programming, Synchronous Programming",Basic JavaScript,none,https://www.udacity.com/course/intermediate-javascript-nanodegree--nd032
46,Agile Software Development,nanodegree,"Get equipped with the skills you need to guide the delivery of high value products with top notch software development teams.
",beginner,3 Months,4.7,151.0,"Agile, Scrum, Kanban, XP, Minimum Viable Product",No Experience Required,ThoughtWorks,https://www.udacity.com/course/agile-software-development-nanodegree--nd144
47,Intro to Machine Learning with PyTorch,nanodegree,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate,3 Months,4.7,446.0,"Introduction to Machine Learning, Supervised Learning, Deep Learning, Unsupervised Learning",Intermediate Python,"Kaggle, AWS",https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229
48,AWS Cloud Architect,nanodegree,"Build confidence planning, designing, and creating high availability cloud infrastructure.",advanced,3 Months,4.6,277.0,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing","Experience with Cloud Computing, Programming, and AWS",none,https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063
49,AI for Business Leaders,nanodegree,"Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth.",intermediate,2 Months,4.6,124.0,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling","Statistics, Probability, and Business Experience",BMW,https://www.udacity.com/course/ai-for-business-leaders--nd054
